AQI,PM2.5
45,18
41,18
59,28
65,33
75,41
103,56
94,48
43,18
27,11
55,21
95,49
55,31
35,15
35,15
68,40
45,18
41,18
59,28
65,33
75,41
103,56
94,48
43,18
27,11
55,21
95,49
55,31
35,15
35,15
68,40
65,30
52,20
45,16
42,18
54,24
51,23
56,27
54,24
48,21
31,13
43,18
54,29
58,31
64,34
70,30
73,27
51,17
67,32
56,27
52,19
62,29
75,35
106,49
93,40
98,44
87,47
75,39
41,18
34,16
32,16
35,13
117,83
109,52
68,20
58,18
46,15
45,26
71,32
113,58
95,48
26,14
52,10
48,11
40,15
47,22
63,25
64,29
72,23
55,24
32,15
54,28
50,32
30,11
51,32
48,29
58,38
68,47
75,50
61,38
57,28
51,23
75,29
38,15
53,15
41,25
47,29
188,65
131,61
84,36
58,28
92,44
103,52
68,31
72,30
101,48
65,25
57,21
77,26
79,21
75,25
62,26
62,26
54,19
44,17
52,35
43,23
86,36
95,43
100,35
96,37
72,22
83,34
83,54
115,86
110,81
88,50
83,46
70,45
105,78
68,49
78,56
55,29
58,37
68,49
78,40
71,28
86,39
93,47
103,58
78,45
89,38
87,44
81,53
76,48
74,42
92,42
92,42
94,42
76,46
52,26
67,35
85,41
92,41
107,50
89,59
73,50
92,68
106,79
103,76
67,38
63,44
66,45
107,79
113,84
77,47
57,35
61,34
58,33
59,39
60,35
70,50
62,44
60,42
63,37
95,68
40,19
42,28
61,43
93,69
94,59
82,55
76,46
135,102
79,57
77,45
62,44
66,41
36,24
79,57
146,109
111,75
38,17
47,30
119,89
73,47
65,46
104,77
116,87
105,78
106,79
83,60
98,66
49,28
79,58
82,47
51,26
78,56
135,101
95,70
146,111
152,116
92,67
71,47
90,65
138,104
185,140
102,76
39,25
43,25
39,20
116,87
125,94
141,107
68,49
83,60
126,95
68,45
35,18
40,27
78,57
62,44
122,92
84,46
57,41
90,66
48,32
48,34
102,76
97,72
98,61
68,36
85,62
50,30
37,17
146,110
68,45
56,35
107,79
144,107
76,54
150,113
193,146
127,95
37,21
45,23
80,56
103,76
47,30
99,74
207,157
166,127
74,52
145,110
80,58
37,23
121,90
164,124
66,42
35,22
36,24
60,40
70,50
130,98
95,68
117,87
35,14
52,32
92,68
123,92
95,64
111,81
56,33
44,22
46,26
62,44
63,40
72,42
101,74
126,95
56,20
49,18
42,23
62,43
90,65
49,31
54,31
32,17
50,34
91,66
104,78
73,52
123,92
124,90
50,28
81,57
68,47
66,44
35,19
49,24
58,35
56,27
37,19
41,21
45,21
46,21
42,17
47,27
53,29
43,20
52,21
74,49
56,36
42,20
47,30
35,21
23,10
20,6
43,22
49,25
57,37
39,21
39,19
40,25
47,28
55,28
42,27
91,53
102,63
112,54
93,50
67,35
70,49
49,30
73,44
106,47
65,42
57,35
66,38
71,40
40,24
25,10
21,9
32,14
69,45
50,24
51,25
55,29
52,22
54,26
69,32
80,33
54,28
48,20
25,12
30,13
43,25
44,16
43,14
36,15
54,30
52,24
44,24
33,10
34,9
35,10
29,11
40,16
35,13
33,13
53,21
54,16
57,21
62,21
52,20
59,23
79,38
94,60
53,20
62,22
76,20
